year,category,winner,nominee,detail
1992,Outstanding Individual Achievement In Costume Design For A Series,1,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,0,A WOMAN NAMED JACKIE,NBC
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,0,HOMEFRONT (PILOT),ABC
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,0,I'LL FLY AWAY (PILOT),NBC
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,0,STOMPIN' AT THE SAVOY,CBS
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,1,THE BABE RUTH STORY,NBC
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,0,THE GAMBLER IV: THE LUCK OF THE DRAW,NBC
1992,Outstanding Individual Achievement In Costume Design For A Miniseries Or A Special,1,YOUNG INDIANA JONES AND THE CURSE OF THE JACKAL (P,ABC
1992,Outstanding Individual Achievement In Sound Editing For A Miniseries Or A Special,0,CONAGHER,TNT
1992,Outstanding Individual Achievement In Sound Editing For A Miniseries Or A Special,1,CRASH LANDING: THE RESCUE OF FLIGHT 232,ABC
1992,Outstanding Individual Achievement In Sound Editing For A Miniseries Or A Special,0,DEADLOCK,HBO
1992,Outstanding Individual Achievement In Sound Editing For A Miniseries Or A Special,0,I'LL FLY AWAY (PILOT),NBC
1992,Outstanding Individual Achievement In Graphic Design And Title Sequences,0,BROOKLYN BRIDGE,CBS
1992,Outstanding Individual Achievement In Graphic Design And Title Sequences,0,IN LIVING COLOR,FOX
1992,Outstanding Individual Achievement In Graphic Design And Title Sequences,1,MTV LIQUID TV,MTV
1992,Outstanding Individual Achievement In Graphic Design And Title Sequences,0,THE VERY BEST OF THE ED SULLIVAN SHOW - 2,CBS
1992,Outstanding Individual Achievement In Hairstyling For A Series,1,HOMEFRONT,ABC
1992,Outstanding Individual Achievement In Hairstyling For A Series,0,IN LIVING COLOR,FOX
1992,Outstanding Individual Achievement In Hairstyling For A Series,0,SESSIONS,HBO
1992,Outstanding Individual Achievement In Hairstyling For A Series,0,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Hairstyling For A Miniseries Or A Special,0,HOMEFRONT (PILOT),ABC
1992,Outstanding Individual Achievement In Hairstyling For A Miniseries Or A Special,0,MARILYN AND ME,ABC
1992,Outstanding Individual Achievement In Hairstyling For A Miniseries Or A Special,1,MISS ROSE WHITE HALLMARK HALL OF FAME,NBC
1992,Outstanding Individual Achievement In Hairstyling For A Miniseries Or A Special,0,O PIONEERS! HALLMARK HALL OF FAME,CBS
1992,Outstanding Individual Achievement In Hairstyling For A Miniseries Or A Special,0,YOUNG INDIANA JONES AND THE CURSE OF THE JACKAL (P,ABC
1992,Outstanding Individual Achievement In Main Title Theme Music,0,BROOKLYN BRIDGE,CBS
1992,Outstanding Individual Achievement In Main Title Theme Music,0,I'LL FLY AWAY,NBC
1992,Outstanding Individual Achievement In Main Title Theme Music,0,MAJOR DAD,CBS
1992,Outstanding Individual Achievement In Main Title Theme Music,0,SILK STALKINGS,USA
1992,Outstanding Individual Achievement In Main Title Theme Music,0,THE YOUNG INDIANA JONES CHRONICLES,ABC
1992,Outstanding Individual Achievement In Makeup For A Series,0,IN LIVING COLOR,FOX
1992,Outstanding Individual Achievement In Makeup For A Series,0,NORTHERN EXPOSURE,CBS
1992,Outstanding Individual Achievement In Makeup For A Series,0,PERFECT STRANGERS,ABC
1992,Outstanding Individual Achievement In Makeup For A Series,1,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Makeup For A Series,0,TALES FROM THE CRYPT,HBO
1992,Outstanding Individual Achievement In Music Direction,0,Christmas In Washington,NBC
1992,Outstanding Individual Achievement In Music Direction,0,LATE NIGHT WITH DAVID LETTERMAN,NBC
1992,Outstanding Individual Achievement In Music Direction,1,THE 64TH ANNUAL ACADEMY AWARDS,ABC
1992,Outstanding Individual Achievement In Music Direction,0,THE KENNEDY CENTER HONORS A GENERAL MOTORS MARK OF,CBS
1992,Outstanding Individual Achievement In Special Visual Effects,1,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Special Visual Effects,1,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Special Visual Effects,1,THE LAST HALLOWEEN,CBS
1992,Outstanding Animated Program (For Programming One Hour Or Less),1,A CLAYMATION EASTER,CBS
1992,Outstanding Animated Program (For Programming One Hour Or Less),0,SHELLEY DUVALL'S BEDTIME STORIES,SHO
1992,Outstanding Animated Program (For Programming One Hour Or Less),0,THE REN & STIMPY SHOW,NIC
1992,Outstanding Animated Program (For Programming One Hour Or Less),0,The Simpsons,FOX
1992,Outstanding Individual Achievement In Casting,1,ONE AGAINST THE WIND,CBS
1992,Outstanding Voice-Over Performance,1,MARCIA WALLACE,The Simpsons
1992,Outstanding Voice-Over Performance,1,YEARDLEY SMITH,The Simpsons
1992,Outstanding Voice-Over Performance,1,JULIE KAVNER,The Simpsons
1992,Outstanding Voice-Over Performance,1,JACKIE MASON,The Simpsons
1992,Outstanding Voice-Over Performance,1,NANCY CARTWRIGHT,The Simpsons
1992,Outstanding Voice-Over Performance,1,Dan Castellaneta,The Simpsons
1992,Outstanding Individual Achievement,1,HEARTS OF DARKNESS:  A FILMMAKER'S APOCALYPSE,SHO
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,AFTERBURN,HBO
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,DRUG WARS: THE COCAINE CARTEL,NBC
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,HOMEFRONT (PILOT),ABC
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,I'LL FLY AWAY (PILOT),NBC
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,1,YOUNG INDIANA JONES AND THE CURSE OF THE JACKAL (P,ABC
1992,Outstanding Individual Achievement In Editing For A Series,0,CHEERS,NBC
1992,Outstanding Individual Achievement In Editing For A Series,0,Coach,ABC
1992,Outstanding Individual Achievement In Editing For A Series,0,Home Improvement,ABC
1992,Outstanding Individual Achievement In Editing For A Series,0,Murphy Brown,CBS
1992,Outstanding Individual Achievement In Editing For A Series,1,Seinfeld,NBC
1992,Outstanding Individual Achievement In Editing For A Series,0,BROOKLYN BRIDGE,CBS
1992,Outstanding Individual Achievement In Editing For A Series,0,Law & Order,NBC
1992,Outstanding Individual Achievement In Editing For A Series,0,NORTHERN EXPOSURE,CBS
1992,Outstanding Individual Achievement In Editing For A Series,1,NORTHERN EXPOSURE,CBS
1992,Outstanding Individual Achievement In Editing For A Series,0,The Trials Of Rosie O'Neill,CBS
1992,Outstanding Sound Mixing For A Drama Miniseries Or A Special,0,A WOMAN NAMED JACKIE,NBC
1992,Outstanding Sound Mixing For A Drama Miniseries Or A Special,0,CRASH LANDING: THE RESCUE OF FLIGHT 232,ABC
1992,Outstanding Sound Mixing For A Drama Miniseries Or A Special,1,ONE AGAINST THE WIND HALLMARK HALL OF FAME,CBS
1992,Outstanding Individual Achievement,1,THE METROPOLITAN OPERA SILVER ANNIVERSARY GALA,PBS
1992,Outstanding Individual Achievement,1,THE METROPOLITAN OPERA SILVER ANNIVERSARY GALA,PBS
1992,Outstanding Individual Achievement,0,"PAUL TAYLOR'S ""SPEAKING IN TONGUES"" DANCE IN AMERI",PBS
1992,Outstanding Individual Achievement,1,THE METROPOLITAN OPERA SILVER ANNIVERSARY GALA,PBS
1992,Outstanding Individual Achievement,1,MILLENNIUM: TRIBAL WISDOM AND THE MODERN WORLD,PBS
1992,Outstanding Individual Achievement,1,HEARTS OF DARKNESS: A FILMMAKER'S APOCALYPSE,SHO
1992,Outstanding Individual Achievement,0,HEARTS OF DARKNESS:  A FILMAKER'S APOCALYPSE,SHO
1992,Outstanding Individual Achievement,0,LOSING IT ALL: THE REALITY OF ALZHEIMER'S DISEASE,HBO
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,CIRQUE DU SOLEIL II: A NEW EXPERIENCE,HBO
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,0,STING AT THE HOLLYWOOD BOWL,DIS
1992,Outstanding Individual Achievement In Editing For A Miniseries Or A Special,1,THE MAGIC OF DAVID COPPERFIELD XIV: FLYING...LIVE,CBS
1992,Outstanding Individual Achievement In Lighting Direction (Electronic) For A Comedy Series,0,Davis Rules,CBS
1992,Outstanding Individual Achievement In Lighting Direction (Electronic) For A Comedy Series,0,Growing Pains,ABC
1992,Outstanding Individual Achievement In Lighting Direction (Electronic) For A Comedy Series,1,Home Improvement,ABC
1992,Outstanding Individual Achievement In Lighting Direction (Electronic) For A Comedy Series,0,NIGHT COURT,NBC
1992,"Outstanding Individual Achievement In Lighting Direction (Electronic) For A Drama Series, Variety Se",0,CIRQUE DU SOLEIL II: A NEW EXPERIENCE,HBO
1992,"Outstanding Individual Achievement In Lighting Direction (Electronic) For A Drama Series, Variety Se",0,COMIC RELIEF V,HBO
1992,"Outstanding Individual Achievement In Lighting Direction (Electronic) For A Drama Series, Variety Se",0,THE 64TH ANNUAL ACADEMY AWARDS,ABC
1992,"Outstanding Individual Achievement In Lighting Direction (Electronic) For A Drama Series, Variety Se",1,THE MAGIC OF DAVID COPPERFIELD XIV: FLYING...LIVE,CBS
1992,"Outstanding Individual Achievement In Lighting Direction (Electronic) For A Drama Series, Variety Se",0,THE TONIGHT SHOW STARRING JOHNNY CARSON,NBC
1992,Outstanding Individual Achievement In Makeup For A Miniseries Or A Special,1,MARK TWAIN AND ME,DIS
1992,Outstanding Individual Achievement In Makeup For A Miniseries Or A Special,0,THE BABE RUTH STORY,NBC
1992,Outstanding Individual Achievement In Makeup For A Miniseries Or A Special,0,WILD TEXAS WIND,NBC
1992,Outstanding Individual Achievement In Makeup For A Miniseries Or A Special,1,YOUNG INDIANA JONES AND THE CURSE OF THE JACKAL (P,ABC
1992,Outstanding Individual Achievement In Sound Mixing For A Comedy Series Or A Special,0,BROOKLYN BRIDGE,CBS
1992,Outstanding Individual Achievement In Sound Mixing For A Comedy Series Or A Special,0,CHEERS,NBC
1992,Outstanding Individual Achievement In Sound Mixing For A Comedy Series Or A Special,1,"DOOGIE HOWSER, M.D.",ABC
1992,Outstanding Individual Achievement In Sound Mixing For A Comedy Series Or A Special,0,The Simpsons,FOX
1992,Outstanding Individual Achievement In Sound Mixing For A Comedy Series Or A Special,0,THE WONDER YEARS,ABC
1992,Outstanding Individual Achievement In Sound Mixing For A Drama Series,0,STAR TREK: THE NEXT GENERATION,SYN
1992,Outstanding Individual Achievement In Sound Mixing For A Drama Series,1,THE YOUNG INDIANA JONES CHRONICLES,ABC
1992,Outstanding Individual Achievement In Sound Mixing For A Variety Or Music Series Or A Special,0,PAUL SIMON'S CONCERT IN CENTRAL PARK,HBO
1992,Outstanding Individual Achievement In Sound Mixing For A Variety Or Music Series Or A Special,0,THE 64TH ANNUAL ACADEMY AWARDS,ABC
1992,Outstanding Individual Achievement In Sound Mixing For A Variety Or Music Series Or A Special,0,The Kennedy Center Honors,CBS
1992,Outstanding Individual Achievement In Sound Mixing For A Variety Or Music Series Or A Special,0,THE TONIGHT SHOW STARRING JOHNNY CARSON,NBC
1992,Outstanding Individual Achievement In Sound Mixing For A Variety Or Music Series Or A Special,1,"UNFORGETTABLE, WITH LOVE: NATALIE COLE SINGS THE S",PBS
1992,Outstanding Individual Achievement In Technical Direction/Camera/Video For A Miniseries Or A Special,0,COMIC RELIEF V,HBO
1992,Outstanding Individual Achievement In Technical Direction/Camera/Video For A Miniseries Or A Special,1,PAUL SIMON'S CONCERT IN CENTRAL PARK,HBO
1992,Outstanding Individual Achievement In Technical Direction/Camera/Video For A Miniseries Or A Special,0,SINBAD AND FRIENDS - ALL THE WAY LIVE... ALMOST!,ABC
1992,Outstanding Individual Achievement In Writing In A Miniseries Or A Special,0,DOING TIME ON MAPLE DRIVE,FOX
1992,Outstanding Individual Achievement In Writing In A Miniseries Or A Special,1,I'LL FLY AWAY (PILOT),NBC
1992,Outstanding Individual Achievement In Writing In A Miniseries Or A Special,0,MISS ROSE WHITE HALLMARK HALL OF FAME,NBC
1992,Outstanding Individual Achievement In Writing In A Miniseries Or A Special,0,"NEIL SIMON'S ""BROADWAY BOUND""",ABC
1992,Outstanding Individual Achievement In Writing In A Miniseries Or A Special,0,WITHOUT WARNING: THE JAMES BRADY STORY,HBO
1992,Outstanding Individual Performance In A Variety Or Music Program,0,GEORGE CARLIN LIVE AT PARAMOUNT: JAMMIN' IN NEW YO,HBO
1992,Outstanding Individual Performance In A Variety Or Music Program,0,Saturday Night Live,NBC
1992,Outstanding Individual Performance In A Variety Or Music Program,0,THE 64TH ANNUAL ACADEMY AWARDS,ABC
1992,Outstanding Individual Performance In A Variety Or Music Program,1,THE TONIGHT SHOW STARRING JOHNNY CARSON,NBC
1992,Outstanding Individual Performance In A Variety Or Music Program,0,"UNFORGETTABLE, WITH LOVE: NATALIE COLE SINGS THE S",PBS
1992,Outstanding Informational Special,1,ABORTION: DESPERATE CHOICES,HBO
1992,Outstanding Informational Special,0,EMPIRE OF THE AIR:  THE MEN WHO MADE RADIO A GENER,PBS
1992,Outstanding Informational Special,0,HEARTS OF DARKNESS: A FILMMAKER'S APOCALYPSE,SHO
1992,Outstanding Informational Special,0,IN THE COMPANY OF WHALES,TDC
1992,Outstanding Informational Special,0,THE BARBARA WALTERS SPECIAL WITH MICHELLE PFEIFFER,ABC
1992,Outstanding Informational Series,0,Entertainment Tonight,SYN
1992,Outstanding Informational Series,0,LATER...WITH BOB COSTAS,NBC
1992,Outstanding Informational Series,1,MGM: WHEN THE LION ROARS,TNT
1992,Outstanding Informational Series,0,Siskel & Ebert,SYN
1992,Outstanding Informational Series,0,UNSOLVED MYSTERIES,NBC
1992,Outstanding Supporting Actor In A Miniseries Or Special,0,BEN VEREEN,INTRUDERS - THEY ARE AMONG US
1992,Outstanding Supporting Actor In A Miniseries Or Special,0,Hector Elizondo,MRS. CAGE AMERICAN PLAYHOUSE
1992,Outstanding Supporting Actor In A Miniseries Or Special,0,Jerry Orbach,"NEIL SIMON'S ""BROADWAY BOUND"""
1992,Outstanding Supporting Actor In A Miniseries Or Special,1,Hume Cronyn,"NEIL SIMON'S ""BROADWAY BOUND"""
1992,Outstanding Supporting Actor In A Miniseries Or Special,0,Brian Dennehy,"SCOTT TUROW'S ""THE BURDEN OF PROOF"""
1993,Outstanding Lead Actor In A Miniseries Or Special,0,James Garner,BARBARIANS AT THE GATE
1993,Outstanding Lead Actor In A Miniseries Or Special,0,James Woods,CITIZEN COHN
1993,Outstanding Lead Actor In A Miniseries Or Special,0,ROBERT BLAKE,JUDGMENT DAY:  THE JOHN LIST STORY
1993,Outstanding Lead Actor In A Miniseries Or Special,0,Robert Duvall,STALIN
1993,Outstanding Lead Actor In A Miniseries Or Special,1,Robert Morse,TRU (AMERICAN PLAYHOUSE)
1993,Outstanding Lead Actress In A Miniseries Or Special,0,JOANNE WOODWARD,BLIND SPOT
1993,Outstanding Lead Actress In A Miniseries Or Special,0,Helen Mirren,PRIME SUSPECT 2 (MYSTERY!)
1993,Outstanding Lead Actress In A Miniseries Or Special,0,Glenn Close,SKYLARK (HALLMARK HALL OF FAME)
1993,Outstanding Lead Actress In A Miniseries Or Special,0,Dame Maggie Smith,SUDDENLY LAST SUMMER (GREAT PERFORMANCES)
1993,Outstanding Lead Actress In A Miniseries Or Special,1,Holly Hunter,THE POSITIVELY TRUE ADVENTURES OF THE ALLEGED TEXA
1993,Outstanding Lead Actor In A Comedy Series,1,Ted Danson,CHEERS
1993,Outstanding Lead Actor In A Comedy Series,0,TIM ALLEN,Home Improvement
1993,Outstanding Lead Actor In A Comedy Series,0,John Goodman,Roseanne
1993,Outstanding Lead Actor In A Comedy Series,0,Jerry Seinfeld,Seinfeld
1993,Outstanding Lead Actor In A Comedy Series,0,Garry Shandling,The Larry Sanders Show
1993,Outstanding Lead Actor In A Drama Series,0,Sam Waterston,I'LL FLY AWAY
1993,Outstanding Lead Actor In A Drama Series,0,Michael Moriarty,Law & Order
1993,Outstanding Lead Actor In A Drama Series,0,ROB MORROW,NORTHERN EXPOSURE
1993,Outstanding Lead Actor In A Drama Series,1,TOM SKERRITT,Picket Fences
1993,Outstanding Lead Actor In A Drama Series,0,Scott Bakula,QUANTUM LEAP
1993,Outstanding Lead Actress In A Comedy Series,0,Marion Ross,BROOKLYN BRIDGE
1993,Outstanding Lead Actress In A Comedy Series,0,Kirstie Alley,CHEERS
1993,Outstanding Lead Actress In A Comedy Series,0,Helen Hunt,Mad About You
1993,Outstanding Lead Actress In A Comedy Series,0,Candice Bergen,Murphy Brown
1993,Outstanding Lead Actress In A Comedy Series,1,Roseanne Arnold,Roseanne
1993,Outstanding Lead Actress In A Drama Series,0,REGINA TAYLOR,I'LL FLY AWAY
1993,Outstanding Lead Actress In A Drama Series,0,Angela Lansbury,Murder/She Wrote
1993,Outstanding Lead Actress In A Drama Series,0,JANINE TURNER,NORTHERN EXPOSURE
1993,Outstanding Lead Actress In A Drama Series,1,Kathy Baker,Picket Fences
1993,Outstanding Lead Actress In A Drama Series,0,Swoosie Kurtz,Sisters
1993,Outstanding Individual Achievement In Art Direction For A Series,1,HOMEFRONT,ABC
1993,Outstanding Individual Achievement In Art Direction For A Series,0,NORTHERN EXPOSURE,CBS
1993,Outstanding Individual Achievement In Art Direction For A Series,0,QUANTUM LEAP,NBC
1993,Outstanding Individual Achievement In Art Direction For A Series,0,Star Trek: Deep Space Nine,SYN
1993,Outstanding Individual Achievement In Art Direction For A Series,0,THE YOUNG INDIANA JONES CHRONICLES,ABC
1993,Outstanding Individual Achievement In Art Direction For A Miniseries Or A Special,0,BARBARIANS AT THE GATE,HBO
1993,Outstanding Individual Achievement In Art Direction For A Miniseries Or A Special,0,CITIZEN COHN,HBO
1993,Outstanding Individual Achievement In Art Direction For A Miniseries Or A Special,0,SINATRA,CBS
1993,Outstanding Individual Achievement In Art Direction For A Miniseries Or A Special,1,STALIN,HBO
1993,Outstanding Individual Achievement In Art Direction For A Miniseries Or A Special,0,WILD PALMS,ABC
1993,Outstanding Individual Achievement In Art Direction For A Variety Or Music Program,0,LIZA MINNELLI LIVE FROM RADIO CITY MUSIC HALL,NPT
1993,Outstanding Individual Achievement In Art Direction For A Variety Or Music Program,0,THE 1992 TONY AWARDS,CBS
1993,Outstanding Individual Achievement In Art Direction For A Variety Or Music Program,0,THE 65TH ANNUAL ACADEMY AWARDS,ABC
1993,Outstanding Individual Achievement In Art Direction For A Variety Or Music Program,1,THE MAGIC OF DAVID COPPERFIELD XV:  FIRES OF PASSI,CBS
1993,Outstanding Individual Achievement In Art Direction For A Variety Or Music Program,0,TOSCA IN THE SETTINGS AND AT THE TIMES OF TOSCA,PBS
1993,Outstanding Individual Achievement In Choreography,0,BOB HOPE:  THE FIRST 90 YEARS,NBC
1993,Outstanding Individual Achievement In Choreography,0,IN LIVING COLOR,FOX
1993,Outstanding Individual Achievement In Choreography,0,LIZA MINNELLI LIVE FROM RADIO CITY MUSIC HALL,NPT
1993,Outstanding Individual Achievement In Choreography,0,THE 65TH ANNUAL ACADEMY AWARDS,ABC
1993,Outstanding Individual Achievement In Choreography,1,THE JACKSONS:  AN AMERICAN DREAM,ABC
1993,Outstanding Individual Achievement In Cinematography For A Miniseries Or A Special,0,AN AMERICAN STORY (HALLMARK HALL OF FAME),CBS
1993,Outstanding Individual Achievement In Cinematography For A Miniseries Or A Special,0,JACKIE COLLINS' LADY BOSS,NBC
1993,Outstanding Individual Achievement In Cinematography For A Miniseries Or A Special,0,MURDER IN THE HEARTLAND,ABC
1993,Outstanding Individual Achievement In Cinematography For A Miniseries Or A Special,0,SINATRA,CBS
1993,Outstanding Individual Achievement In Cinematography For A Miniseries Or A Special,1,STALIN,HBO
1993,Outstanding Comedy Series,0,CHEERS,NBC
1993,Outstanding Comedy Series,0,Home Improvement,ABC
1993,Outstanding Comedy Series,0,Murphy Brown,CBS
1993,Outstanding Comedy Series,1,Seinfeld,NBC
1993,Outstanding Comedy Series,0,The Larry Sanders Show,HBO
1993,Outstanding Individual Achievement In Writing In A Comedy Series,0,DREAM ON,HBO
1993,Outstanding Individual Achievement In Writing In A Comedy Series,1,Seinfeld,NBC
1993,Outstanding Individual Achievement In Writing In A Comedy Series,0,Seinfeld,NBC
1993,Outstanding Individual Achievement In Writing In A Comedy Series,0,The Larry Sanders Show,HBO
1993,Outstanding Individual Achievement In Writing In A Comedy Series,0,The Larry Sanders Show,HBO
1993,Outstanding Individual Achievement In Writing In A Variety Or Music Program,0,LATE NIGHT WITH DAVID LETTERMAN,NBC
1993,Outstanding Individual Achievement In Writing In A Variety Or Music Program,0,RICK REYNOLDS:  ONLY THE TRUTH IS FUNNY,SHO
1993,Outstanding Individual Achievement In Writing In A Variety Or Music Program,0,Saturday Night Live,NBC
1993,Outstanding Individual Achievement In Writing In A Variety Or Music Program,1,THE BEN STILLER SHOW,FOX
1993,Outstanding Individual Achievement In Writing In A Variety Or Music Program,0,The Kids In The Hall,HBO
1993,Outstanding Individual Achievement In Directing In A Comedy  Series,0,CHEERS,NBC
1993,Outstanding Individual Achievement In Directing In A Comedy  Series,0,DREAM ON,HBO
1993,Outstanding Individual Achievement In Directing In A Comedy  Series,1,DREAM ON,HBO
1993,Outstanding Individual Achievement In Directing In A Comedy  Series,0,Murphy Brown,CBS
1993,Outstanding Individual Achievement In Directing In A Comedy  Series,0,Seinfeld,NBC
1993,Outstanding Individual Achievement In Directing In A Variety Or Music Program,0,BLACK AND BLUE (GREAT PERFORMANCES),PBS
1993,Outstanding Individual Achievement In Directing In A Variety Or Music Program,0,LATE NIGHT WITH DAVID LETTERMAN,NBC
1993,Outstanding Individual Achievement In Directing In A Variety Or Music Program,1,THE 1992 TONY AWARDS,CBS
1993,Outstanding Individual Achievement In Directing In A Variety Or Music Program,0,THE 65TH ANNUAL ACADEMY AWARDS,ABC
1993,Outstanding Individual Achievement In Directing In A Drama Series,1,HOMICIDE - LIFE ON THE STREET,NBC
1993,Outstanding Individual Achievement In Directing In A Drama Series,0,I'LL FLY AWAY,NBC
1993,Outstanding Individual Achievement In Directing In A Drama Series,0,Law & Order,NBC
1993,Outstanding Individual Achievement In Directing In A Drama Series,0,SIRENS,ABC
1993,Outstanding Individual Achievement In Directing In A Drama Series,0,Sisters,NBC
1993,Outstanding Individual Achievement In Directing In A Drama Series,0,THE YOUNG INDIANA JONES CHRONICLES,ABC
1993,Outstanding Individual Achievement In Directing For A Miniseries Or A Special,0,A TOWN TORN APART,NBC
1993,Outstanding Individual Achievement In Directing For A Miniseries Or A Special,0,BARBARIANS AT THE GATE,HBO
1993,Outstanding Individual Achievement In Directing For A Miniseries Or A Special,0,CITIZEN COHN,HBO
1993,Outstanding Individual Achievement In Directing For A Miniseries Or A Special,1,SINATRA,CBS
1993,Outstanding Individual Achievement In Directing For A Miniseries Or A Special,0,THE POSITIVELY TRUE ADVENTURES OF THE ALLEGED TEXA,HBO
1993,Outstanding Technical Direction/Camera/Video For A Series,0,Home Improvement,ABC
1993,Outstanding Technical Direction/Camera/Video For A Series,0,MTV UNPLUGGED,MTV
1993,Outstanding Technical Direction/Camera/Video For A Series,0,ROC,FOX
1993,Outstanding Technical Direction/Camera/Video For A Series,1,THE ARSENIO HALL SHOW,SYN
1993,Outstanding Technical Direction/Camera/Video For A Series,0,The Tonight Show With Jay Leno,NBC
1993,Outstanding Made For Television Movie,1,BARBARIANS AT THE GATE,HBO
1993,Outstanding Made For Television Movie,0,CITIZEN COHN,HBO
1993,Outstanding Made For Television Movie,1,STALIN,HBO
1993,Outstanding Made For Television Movie,0,THE POSITIVELY TRUE ADVENTURES OF THE ALLEGED TEXA,HBO
1993,Outstanding Made For Television Movie,0,TRU (AMERICAN PLAYHOUSE),PBS
1993,Outstanding Individual Achievement In Music Composition For A Miniseries Or A Special (Dramatic Unde,0,AN AMERICAN STORY (HALLMARK HALL OF FAME),CBS
1993,Outstanding Individual Achievement In Music Composition For A Miniseries Or A Special (Dramatic Unde,0,CALL OF THE WILD,CBS
1993,Outstanding Individual Achievement In Music Composition For A Miniseries Or A Special (Dramatic Unde,1,DANIELLE STEEL'S JEWELS,NBC
1993,Outstanding Individual Achievement In Music Composition For A Miniseries Or A Special (Dramatic Unde,0,MORTAL SINS,USA
1993,Outstanding Individual Achievement In Music Composition For A Miniseries Or A Special (Dramatic Unde,0,THE SEA WOLF,TNT
1993,Outstanding Individual Achievement In Music Composition For A Series (Dramatic Underscore),0,"Murder, She Wrote",CBS
1993,Outstanding Individual Achievement In Music Composition For A Series (Dramatic Underscore),0,QUANTUM LEAP,NBC
1993,Outstanding Individual Achievement In Music Composition For A Series (Dramatic Underscore),0,The Simpsons,FOX
1993,Outstanding Individual Achievement In Music Composition For A Series (Dramatic Underscore),1,THE YOUNG INDIANA JONES CHRONICLES,ABC
1993,Outstanding Individual Achievement In Music Composition For A Series (Dramatic Underscore),0,THE YOUNG INDIANA JONES CHRONICLES,ABC
1993,Outstanding Individual Achievement In Music And Lyrics,0,BLIND SPOT,CBS
1993,Outstanding Individual Achievement In Music And Lyrics,0,BOB HOPE:  THE FIRST 90 YEARS,NBC
1993,Outstanding Individual Achievement In Music And Lyrics,0,I'LL FLY AWAY,NBC
1993,Outstanding Individual Achievement In Music And Lyrics,1,LIZA MINNELLI LIVE FROM RADIO CITY MUSIC HALL,NPT
1993,Outstanding Individual Achievement In Music And Lyrics,0,THE HEIGHTS,FOX
1993,"Outstanding Variety, Music Or Comedy Series",0,LATE NIGHT WITH DAVID LETTERMAN,NBC
1993,"Outstanding Variety, Music Or Comedy Series",0,MTV UNPLUGGED,MTV
1993,"Outstanding Variety, Music Or Comedy Series",1,Saturday Night Live,NBC
1993,"Outstanding Variety, Music Or Comedy Series",0,The Tonight Show With Jay Leno,NBC
1993,Outstanding Miniseries,0,ALEX HALEY'S QUEEN,CBS
1993,Outstanding Miniseries,0,FAMILY PICTURES,ABC
1993,Outstanding Miniseries,1,PRIME SUSPECT 2 (MYSTERY),PBS
1993,Outstanding Miniseries,0,SINATRA,CBS
1993,Outstanding Miniseries,0,THE JACKSONS:  AN AMERICAN DREAM,ABC
1993,"Outstanding Variety, Music Or Comedy Special",1,BOB HOPE:  THE FIRST 90 YEARS,NBC
1993,"Outstanding Variety, Music Or Comedy Special",0,SONDHEIM:  A CELEBRATION AT CARNEGIE HALL (GREAT P,PBS
1993,"Outstanding Variety, Music Or Comedy Special",0,THE 1992 TONY AWARDS,CBS
1993,"Outstanding Variety, Music Or Comedy Special",0,THE 65TH ANNUAL ACADEMY AWARDS,ABC
1993,"Outstanding Variety, Music Or Comedy Special",0,THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UN,SHO
1993,Outstanding Supporting Actor In A Comedy Series,0,Michael Jeter,EVENING SHADE
1993,Outstanding Supporting Actor In A Comedy Series,1,Michael Richards,Seinfeld
1993,Outstanding Supporting Actor In A Comedy Series,0,Jason Alexander,Seinfeld
1993,Outstanding Supporting Actor In A Comedy Series,0,Rip Torn,The Larry Sanders Show
1993,Outstanding Supporting Actor In A Comedy Series,0,Jeffrey Tambor,The Larry Sanders Show
1993,Outstanding Supporting Actor In A Drama Series,1,CHAD LOWE,LIFE GOES ON
1993,Outstanding Supporting Actor In A Drama Series,0,Barry Corbin,NORTHERN EXPOSURE
1993,Outstanding Supporting Actor In A Drama Series,0,JOHN CULLUM,NORTHERN EXPOSURE
1993,Outstanding Supporting Actor In A Drama Series,0,FYVUSH FINKEL,Picket Fences
1993,Outstanding Supporting Actor In A Drama Series,0,DEAN STOCKWELL,QUANTUM LEAP
